Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.179,49.684,50.171,50.641,51.099,51.547,51.991,52.435,52.885,53.346,53.824,54.327,54.853,55.398,55.957,56.524,57.091,57.649,58.186,58.692,59.174,59.647,60.109,60.543,60.916,61.167,61.227,61.059,60.651,60.016,59.191,58.232,57.219,56.222,55.284,54.41,53.572,52.749,51.947,51.214,50.629,50.281,50.232,50.518,51.15,52.13,53.435,54.983,56.679,58.447,60.211,61.91,63.511,64.976,66.265,67.338,68.178,68.812,69.275,
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,36.249,36.715,37.19,37.683,38.201,38.754,39.355,40.005,40.703,41.444,42.223,43.036,43.866,44.695,45.504,46.275,46.992,47.648,48.233,48.737,49.153,49.476,49.713,49.872,49.955,49.966,49.912,49.797,49.624,49.397,49.104,48.728,48.267,47.731,47.143,46.53,45.922,45.353,44.857,44.461,44.19,44.061,44.063,44.182,44.413,44.744,45.158,45.636,46.161,46.719,47.312,47.95,48.638,49.371,50.129,50.881,51.593,52.24,52.805,
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.1331707317,71.346097561,71.3670731707,71.3807317073,71.7763414634,71.872195122,72.0043902439,72.207804878,72.3534146341,72.5014634146,72.7004878049,73.0292682927,72.933902439,73.1626829268,73.2375609756,73.5217073171,73.856097561,74.2156097561,74.5297560976,74.8663414634,75.0780487805,75.4634146341,75.7634146341,76.0658536585,76.2170731707,76.3682926829,76.5195121951,76.7195121951,76.9195121951,77.1195121951,77.4219512195,77.6219512195,77.7243902439,77.8243902439,77.8268292683,78.0292682927,78.1804878049,78.4317073171,78.6341463415,78.8853658537,79.1365853659,79.3390243902,79.4902439024,79.7414634146,79.8926829268,80.1926829268,80.343902439,80.543902439,80.6951219512,80.9951219512,81.2463414634,81.4487804878,81.6487804878,81.7487804878,81.8,81.9,81.9,81.9487804878,81.9487804878,
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.8213886392,68.2621983439,68.0069256418,68.6960473697,69.0524845389,69.2769975955,69.527071934,69.2727421877,69.5360253049,69.275734202,69.4469550552,69.4851657458,69.9254412646,70.0677771921,70.3059393693,70.1744086942,70.3191488958,70.2423731483,70.1479321061,70.239396994,69.890509798,70.3720501778,70.4554733187,70.3897851694,70.3491148561,70.3128834663,70.5651360397,70.6117633312,70.8617082251,70.7319722597,70.6563313373,70.5752213035,70.7328371314,70.8459866151,70.8695439447,71.0254214283,71.336058019,71.5172580697,71.898237676,72.1845610741,72.7197247228,73.0961481937,73.2424154881,73.3822527825,73.7371529961,73.8383001839,74.0926027308,74.2506487211,74.5759526781,74.9303639267,75.2939657786,75.8884748834,75.9934886035,76.355162987,76.6756236113,76.5718777648,76.9698114172,76.9474653545,76.9768451718,
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.3134146341,71.6448780488,71.196097561,71.1875609756,72.077804878,72.2017073171,72.3356097561,72.6365853659,72.5902439024,72.6126829268,73.0202439024,73.1307317073,73.6443902439,73.9409756098,74.2870731707,74.6656097561,74.7853658537,75.2380487805,75.1873170732,75.466097561,75.4592682927,75.6931707317,76.033902439,76.0312195122,76.6085365854,76.7336585366,76.8990243902,77.1975609756,77.2265853659,77.4212195122,77.2424390244,77.5146341463,77.806097561,78.0853658537,78.35,78.4170731707,78.896097561,79.0795121951,79.3243902439,79.5804878049,79.6804878049,80.1804878049,80.3853658537,80.5365853659,81.087804878,81.2365853659,81.4902439024,81.7414634146,81.9926829268,82.043902439,82.2463414634,82.6951219512,82.6975609756,82.7975609756,83.1975609756,82.8975609756,83.6024390244,83.5512195122,83.7536585366,
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.739,70.833,70.928,71.03,71.143,71.265,71.391,71.512,71.623,71.726,71.823,71.919,72.02,72.133,72.261,72.409,72.58,72.773,72.983,73.208,73.439,73.668,73.89,74.101,74.3,74.486,74.66,74.829,75.004,75.192,75.41,75.673,75.988,76.351,76.755,77.184,77.616,78.028,78.406,78.742,79.037,79.3,79.548,79.795,80.045,80.298,80.553,80.802,81.041,81.268,81.483,81.688,81.883,82.071,82.252,82.429,82.6,82.766,82.928,
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.219,57.616,58.031,58.467,58.927,59.415,59.931,60.474,61.044,61.637,62.254,62.895,63.555,64.231,64.917,65.609,66.307,67.005,67.698,68.378,69.033,69.655,70.239,70.782,71.282,71.737,72.148,72.524,72.872,73.198,73.509,73.808,74.1,74.386,74.671,74.957,75.244,75.53,75.813,76.092,76.366,76.634,76.894,77.146,77.391,77.63,77.865,78.099,78.33,78.558,78.779,78.986,79.176,79.349,79.504,79.646,79.779,79.909,80.042,
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.725,44.051,44.783,45.972,47.592,49.549,51.696,53.847,55.843,57.603,59.085,60.303,61.344,62.281,63.134,63.915,64.631,65.278,65.857,66.377,66.844,67.26,67.627,67.949,68.231,68.473,68.673,68.831,68.954,69.054,69.145,69.242,69.355,69.496,69.67,69.885,70.14,70.428,70.737,71.063,71.397,71.732,72.061,72.381,72.689,72.985,73.271,73.553,73.835,74.119,74.409,74.708,75.013,75.321,75.629,75.928,76.21,76.47,76.704,
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,36.095,36.948,37.78,38.583,39.358,40.115,40.873,41.647,42.449,43.276,44.123,44.979,45.824,46.64,47.418,48.147,48.825,49.456,50.041,50.579,51.072,51.525,51.94,52.314,52.645,52.922,53.139,53.286,53.357,53.35,53.254,53.062,52.779,52.423,52.013,51.569,51.109,50.657,50.242,49.891,49.635,49.495,49.475,49.572,49.788,50.12,50.561,51.091,51.682,52.313,52.964,53.62,54.271,54.906,55.508,56.065,56.567,57.017,57.422,
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.785,42.255,42.721,43.182,43.639,44.095,44.555,45.025,45.509,46.008,46.523,47.053,47.593,48.135,48.675,49.205,49.719,50.213,50.682,51.123,51.537,51.933,52.312,52.67,52.997,53.273,53.476,53.591,53.611,53.536,53.362,53.088,52.738,52.343,51.936,51.554,51.238,51.009,50.885,50.878,50.993,51.222,51.536,51.908,52.321,52.76,53.215,53.681,54.153,54.627,55.101,55.581,56.073,56.576,57.083,57.583,58.063,58.511,58.921,
